Trip_ID,User_ID,Origin,Destination,Start_Date,End_Date,Duration_Days,Travel_Type,Transport_Mode,Hotel_Type,Season,Budget_INR,User_Rating,AI_Recommendation_Used,Trip_Status
T0001,U0161,Delhi,Bali,2025-08-29,2025-09-01,3,Romantic,Train,Hostel,Spring,15311,5.0,Yes,Planned
T0002,U0053,Goa,Maldives,2026-06-26,2026-07-06,10,Business,Car,Resort,Spring,184073,3.6,Yes,Planned
T0003,U0270,Bangkok,Jaipur,2026-03-12,2026-03-25,13,Cultural,Car,Budget,Autumn,47065,4.8,No,Planned
T0004,U0231,Mumbai,Dubai,2026-08-06,2026-08-08,2,Business,Flight,Resort,Winter,22666,3.1,No,Completed
T0005,U0015,New York,Chennai,2026-11-02,2026-11-10,8,Business,Train,Resort,Autumn,131626,4.0,Yes,Cancelled
T0006,U0286,Agra,Hyderabad,2026-02-14,2026-02-21,7,Cultural,Bus,Standard,Spring,105259,3.4,Yes,Cancelled
T0007,U0052,Hyderabad,Singapore,2025-05-04,2025-05-06,2,Romantic,Train,Luxury,Winter,61005,4.9,Yes,Planned
T0008,U0280,Dubai,New York,2026-09-25,2026-10-07,12,Family,Car,Standard,Monsoon,153760,4.5,Yes,Planned
T0009,U0151,Maldives,Mumbai,2026-12-14,2026-12-23,9,Cultural,Train,Luxury,Spring,47504,4.4,No,Completed
T0010,U0113,Agra,New York,2026-03-27,2026-03-29,2,Romantic,Car,Luxury,Winter,22183,4.7,Yes,Planned
T0011,U0022,Jaipur,Tokyo,2025-09-23,2025-10-06,13,Cultural,Cruise,Luxury,Monsoon,117450,3.7,Yes,Completed
T0012,U0116,Mumbai,Jaipur,2026-08-09,2026-08-15,6,Family,Cruise,Budget,Monsoon,125294,4.9,No,Completed
T0013,U0026,Kolkata,Chennai,2025-01-01,2025-01-09,8,Adventure,Train,Budget,Autumn,64748,3.6,No,Completed
T0014,U0180,Kolkata,Maldives,2025-07-13,2025-07-27,14,Business,Bus,Resort,Autumn,32677,4.2,Yes,Planned
T0015,U0092,Maldives,Delhi,2026-02-21,2026-02-23,2,Business,Train,Hostel,Summer,83847,3.5,Yes,Completed
T0016,U0086,Maldives,Bangkok,2025-04-15,2025-04-26,11,Leisure,Cruise,Resort,Autumn,77215,3.3,Yes,Planned
T0017,U0096,Dubai,Bangalore,2026-10-30,2026-11-10,11,Leisure,Cruise,Hostel,Spring,33289,4.9,No,Cancelled
T0018,U0253,Goa,Hyderabad,2026-07-07,2026-07-20,13,Adventure,Train,Luxury,Winter,48494,3.8,No,Planned
T0019,U0099,Tokyo,Bangalore,2026-06-28,2026-07-07,9,Romantic,Train,Budget,Autumn,57295,4.2,No,Planned
T0020,U0144,Mumbai,Jaipur,2025-09-01,2025-09-14,13,Family,Cruise,Luxury,Spring,61934,4.9,Yes,Cancelled
T0021,U0141,Rome,Agra,2025-04-21,2025-05-02,11,Business,Flight,Standard,Monsoon,185333,3.2,No,Completed
T0022,U0019,Mumbai,Dubai,2025-02-13,2025-02-26,13,Cultural,Bus,Hostel,Autumn,36790,3.8,No,Completed
T0023,U0080,New York,Tokyo,2026-06-27,2026-07-11,14,Cultural,Cruise,Luxury,Spring,44620,3.6,Yes,Cancelled
T0024,U0122,Agra,Tokyo,2026-08-20,2026-08-29,9,Romantic,Car,Standard,Summer,76203,3.7,No,Completed
T0025,U0289,Hyderabad,Agra,2025-03-07,2025-03-19,12,Cultural,Flight,Standard,Winter,178964,3.1,Yes,Planned
T0026,U0083,Rome,Chennai,2026-12-16,2026-12-22,6,Leisure,Cruise,Budget,Winter,20916,4.5,Yes,Planned
T0027,U0251,Kolkata,Maldives,2025-02-08,2025-02-21,13,Leisure,Flight,Hostel,Autumn,116884,3.2,No,Completed
T0028,U0081,Pune,Paris,2026-10-12,2026-10-25,13,Family,Cruise,Resort,Summer,80390,4.0,No,Planned
T0029,U0061,Singapore,Bangkok,2025-06-13,2025-06-17,4,Business,Bus,Luxury,Autumn,174506,4.3,Yes,Completed
T0030,U0113,Paris,Chennai,2026-02-13,2026-02-24,11,Adventure,Cruise,Resort,Summer,74291,4.6,No,Cancelled
T0031,U0126,Bangkok,Pune,2025-02-08,2025-02-18,10,Romantic,Flight,Budget,Autumn,60448,3.4,No,Planned
T0032,U0229,Maldives,Jaipur,2026-06-14,2026-06-25,11,Leisure,Flight,Hostel,Autumn,58447,4.1,No,Completed
T0033,U0062,Delhi,Hyderabad,2025-03-17,2025-03-24,7,Leisure,Train,Luxury,Summer,135808,4.0,Yes,Planned
T0034,U0010,Mumbai,Agra,2025-08-08,2025-08-10,2,Family,Train,Resort,Summer,133781,3.7,Yes,Completed
T0035,U0076,Hyderabad,New York,2026-09-01,2026-09-10,9,Adventure,Bus,Budget,Spring,111834,4.9,No,Planned
T0036,U0104,Rome,Jaipur,2026-04-01,2026-04-11,10,Cultural,Bus,Hostel,Winter,53303,3.9,Yes,Cancelled
T0037,U0157,Bali,Singapore,2026-05-11,2026-05-22,11,Leisure,Car,Luxury,Spring,197891,4.6,Yes,Completed
T0038,U0173,New York,London,2026-08-30,2026-09-08,9,Business,Bus,Luxury,Monsoon,74772,4.0,No,Completed
T0039,U0133,Maldives,London,2025-08-13,2025-08-26,13,Family,Train,Budget,Spring,47219,4.8,Yes,Completed
T0040,U0137,Bangkok,Hyderabad,2026-12-29,2027-01-02,4,Business,Car,Budget,Autumn,129719,4.2,No,Planned
T0041,U0154,Paris,Hyderabad,2025-10-12,2025-10-26,14,Romantic,Train,Hostel,Winter,104270,3.6,Yes,Planned
T0042,U0175,Maldives,Mumbai,2025-05-26,2025-06-04,9,Business,Train,Resort,Winter,159521,3.6,No,Completed
T0043,U0247,Kolkata,New York,2026-09-06,2026-09-09,3,Adventure,Bus,Hostel,Winter,119575,3.1,Yes,Planned
T0044,U0112,Pune,Bali,2026-08-27,2026-08-29,2,Family,Bus,Resort,Autumn,12198,4.7,No,Completed
T0045,U0280,London,Pune,2025-11-02,2025-11-06,4,Leisure,Train,Luxury,Winter,130307,4.9,No,Cancelled
T0046,U0042,London,Delhi,2025-11-05,2025-11-17,12,Romantic,Flight,Standard,Winter,66133,4.8,Yes,Planned
T0047,U0282,Paris,Bangalore,2025-08-08,2025-08-15,7,Family,Cruise,Luxury,Monsoon,160322,3.2,No,Planned
T0048,U0201,Hyderabad,Pune,2026-02-16,2026-02-28,12,Business,Train,Hostel,Winter,186492,3.3,Yes,Planned
T0049,U0057,Bali,Rome,2026-04-22,2026-04-24,2,Leisure,Car,Luxury,Autumn,176844,4.6,Yes,Cancelled
T0050,U0176,Bangalore,Tokyo,2025-07-25,2025-07-31,6,Business,Bus,Hostel,Summer,34070,3.6,Yes,Completed
T0051,U0016,Paris,Bangkok,2025-07-27,2025-08-06,10,Family,Train,Resort,Summer,17564,4.3,Yes,Cancelled
T0052,U0177,Tokyo,New York,2026-05-19,2026-05-27,8,Adventure,Cruise,Standard,Spring,153748,4.5,No,Completed
T0053,U0153,Tokyo,Jaipur,2026-09-10,2026-09-19,9,Romantic,Car,Luxury,Spring,170829,4.2,Yes,Cancelled
T0054,U0241,Chennai,Bangkok,2026-01-29,2026-01-31,2,Family,Bus,Standard,Monsoon,56600,4.9,No,Completed
T0055,U0170,London,Hyderabad,2025-11-04,2025-11-08,4,Leisure,Flight,Hostel,Monsoon,113320,4.7,Yes,Completed
T0056,U0237,Chennai,Rome,2025-10-02,2025-10-11,9,Leisure,Bus,Resort,Winter,21303,4.4,Yes,Cancelled
T0057,U0158,Rome,London,2025-10-10,2025-10-18,8,Business,Car,Standard,Autumn,88249,3.3,Yes,Cancelled
T0058,U0278,Dubai,Kolkata,2026-03-10,2026-03-23,13,Romantic,Car,Resort,Summer,101357,4.5,No,Cancelled
T0059,U0029,Pune,New York,2026-10-30,2026-11-04,5,Adventure,Flight,Luxury,Monsoon,110732,3.8,No,Cancelled
T0060,U0084,Maldives,Bangkok,2025-05-17,2025-05-30,13,Cultural,Bus,Budget,Autumn,107883,4.5,Yes,Cancelled
T0061,U0024,Hyderabad,Maldives,2025-08-16,2025-08-24,8,Romantic,Train,Luxury,Spring,92879,3.6,No,Cancelled
T0062,U0166,Hyderabad,Maldives,2026-03-13,2026-03-16,3,Adventure,Cruise,Budget,Winter,93309,4.9,No,Completed
T0063,U0077,New York,Bangalore,2026-07-30,2026-08-09,10,Romantic,Train,Standard,Summer,186076,3.2,No,Completed
T0064,U0007,Paris,Maldives,2025-01-17,2025-01-22,5,Adventure,Car,Resort,Summer,154701,4.2,No,Completed
T0065,U0082,New York,Bangkok,2026-07-18,2026-07-24,6,Cultural,Train,Luxury,Autumn,80326,3.1,No,Planned
T0066,U0250,Bali,Paris,2025-03-25,2025-03-29,4,Family,Train,Resort,Summer,14703,4.2,Yes,Completed
T0067,U0293,Pune,Paris,2025-02-14,2025-02-25,11,Family,Cruise,Budget,Spring,98397,4.0,Yes,Cancelled
T0068,U0270,Rome,Hyderabad,2026-08-06,2026-08-18,12,Business,Cruise,Standard,Spring,193305,3.1,No,Planned
T0069,U0130,Mumbai,Jaipur,2025-11-27,2025-12-04,7,Leisure,Cruise,Resort,Summer,141691,4.1,Yes,Planned
T0070,U0178,Maldives,Dubai,2026-10-26,2026-11-05,10,Romantic,Car,Hostel,Spring,156470,3.9,No,Completed
T0071,U0232,Pune,London,2026-06-09,2026-06-12,3,Leisure,Car,Luxury,Winter,34089,4.7,No,Planned
T0072,U0102,Paris,Bangalore,2026-10-13,2026-10-19,6,Cultural,Car,Luxury,Summer,180954,4.8,No,Planned
T0073,U0102,London,Bali,2025-08-02,2025-08-04,2,Business,Bus,Luxury,Summer,149999,3.7,No,Completed
T0074,U0021,Delhi,Dubai,2026-10-23,2026-10-31,8,Adventure,Cruise,Resort,Winter,168059,4.9,No,Cancelled
T0075,U0108,Bangkok,Pune,2025-09-17,2025-09-22,5,Business,Cruise,Budget,Summer,96365,3.4,Yes,Completed
T0076,U0125,Bangkok,Bangalore,2025-05-12,2025-05-23,11,Business,Flight,Standard,Monsoon,137959,3.8,Yes,Completed
T0077,U0293,Agra,Goa,2026-09-30,2026-10-08,8,Adventure,Car,Luxury,Summer,90532,3.2,Yes,Completed
T0078,U0036,Rome,Bangkok,2025-09-20,2025-10-01,11,Family,Flight,Resort,Monsoon,41007,3.5,Yes,Planned
T0079,U0258,Maldives,Hyderabad,2025-12-24,2025-12-31,7,Cultural,Flight,Luxury,Summer,146321,5.0,Yes,Completed
T0080,U0104,Goa,Mumbai,2025-04-13,2025-04-27,14,Cultural,Cruise,Resort,Spring,82982,3.8,Yes,Planned
T0081,U0180,Pune,Bangalore,2026-02-24,2026-02-27,3,Cultural,Train,Resort,Summer,40682,3.5,Yes,Completed
T0082,U0066,Paris,Jaipur,2025-01-03,2025-01-13,10,Adventure,Train,Luxury,Summer,88222,3.8,No,Completed
T0083,U0173,Rome,London,2026-07-25,2026-07-30,5,Romantic,Car,Resort,Autumn,157992,3.5,Yes,Completed
T0084,U0083,Maldives,Chennai,2025-06-01,2025-06-15,14,Leisure,Bus,Hostel,Winter,129863,3.6,No,Completed
T0085,U0191,Bangalore,Hyderabad,2025-09-30,2025-10-03,3,Cultural,Cruise,Luxury,Monsoon,156494,4.6,No,Completed
T0086,U0173,Hyderabad,Bangalore,2025-11-10,2025-11-21,11,Romantic,Flight,Luxury,Winter,123132,5.0,No,Cancelled
T0087,U0060,Paris,Singapore,2026-11-15,2026-11-25,10,Family,Flight,Standard,Summer,100536,4.4,No,Planned
T0088,U0152,Hyderabad,Maldives,2026-09-25,2026-10-05,10,Leisure,Cruise,Resort,Autumn,73530,4.3,No,Completed
T0089,U0256,Delhi,Maldives,2026-08-02,2026-08-15,13,Leisure,Flight,Standard,Summer,164960,3.6,Yes,Planned
T0090,U0271,Agra,Goa,2025-04-10,2025-04-23,13,Leisure,Train,Budget,Winter,105457,3.3,No,Cancelled
T0091,U0135,Paris,New York,2026-07-17,2026-07-26,9,Romantic,Bus,Luxury,Winter,108605,4.5,No,Planned
T0092,U0128,Bangkok,Singapore,2026-02-04,2026-02-12,8,Family,Train,Standard,Winter,114555,4.3,No,Planned
T0093,U0054,Goa,London,2025-04-25,2025-04-30,5,Romantic,Flight,Budget,Summer,188773,4.7,Yes,Planned
T0094,U0038,Jaipur,Paris,2025-02-22,2025-03-03,9,Cultural,Car,Resort,Winter,129654,3.0,Yes,Planned
T0095,U0076,Paris,Delhi,2025-12-31,2026-01-04,4,Cultural,Train,Hostel,Spring,88229,4.4,No,Cancelled
T0096,U0075,Singapore,Hyderabad,2025-05-12,2025-05-19,7,Leisure,Train,Hostel,Winter,171326,4.7,No,Planned
T0097,U0074,Pune,Chennai,2025-05-28,2025-06-03,6,Family,Car,Standard,Spring,52963,4.6,No,Cancelled
T0098,U0220,Rome,Maldives,2026-10-13,2026-10-20,7,Cultural,Train,Standard,Winter,113302,3.5,Yes,Completed
T0099,U0148,Bangkok,Goa,2025-03-23,2025-03-26,3,Family,Train,Standard,Spring,125359,4.3,No,Completed
T0100,U0086,New York,Mumbai,2025-08-03,2025-08-09,6,Leisure,Flight,Hostel,Autumn,165331,3.8,No,Completed
T0101,U0076,Agra,Bangalore,2025-07-16,2025-07-20,4,Cultural,Car,Luxury,Summer,153996,4.5,Yes,Cancelled
T0102,U0044,Dubai,London,2025-09-22,2025-10-02,10,Leisure,Train,Resort,Monsoon,163335,3.9,No,Cancelled
